id,folder,architecture,dataset,layer size,depth,activation function,dropout,batch size,learning rate,epochs,loss,radian loss,mse loss,elapsed time
285,models/model285/,lstm,3x,190,6,Tanh,0.31,126,2.187761623949552e-05,200,0.03559665030846373,0.03110102701187134,0.004495623296592385,01:27:37
286,models/model286/,lstm,3x,167,2,ReLU,0.19,26,0.0003235936569296281,200,0.04026405558711849,0.03668555164337158,0.0035785039437469103,01:51:07
287,models/model287/,mlp,3x,36,6,LeakyReLU,0.4,124,5.495408738576248e-05,200,0.06161041530780495,0.05664172542095185,0.0049686898868531,00:30:52
288,models/model288/,lstm,3x,19,5,LeakyReLU,0.46,138,0.00010715193052376059,200,0.09963485130434856,0.0946701945066452,0.004964656797703356,01:04:17
289,models/model289/,lstm,3x,22,6,Tanh,0.06,149,0.0001548816618912481,200,0.03871915424591862,0.03379563716053963,0.004923517085378989,01:11:22
290,models/model290/,lstm,3x,39,5,ReLU,0.22,36,0.00047863009232263854,200,0.053597792484797534,0.04868513023853301,0.004912662246264519,02:34:34
291,models/model291/,lstm,3x,210,6,ReLU,0.35,111,1.584893192461114e-06,200,0.09074676609924064,0.08209439492225648,0.00865237117698416,01:43:48
292,models/model292/,mlp,3x,261,2,LeakyReLU,0.33,154,2.238721138568338e-05,200,0.034981435296125706,0.030872062325477595,0.00410937297064811,00:32:56
293,models/model293/,mlp,3x,79,6,Tanh,0.33,186,5.128613839913648e-05,200,0.039207623600494124,0.03424665427207947,0.004960969328414649,00:30:17
294,models/model294/,lstm,3x,25,3,LeakyReLU,0.24,689,1.3489628825916533e-05,200,0.24225068986788392,0.1433383835852146,0.09891230628266931,00:32:33
295,models/model295/,lstm,3x,18,6,Tanh,0.07,70,0.0008128305161640995,200,0.046990145239979034,0.042083286941051484,0.004906858298927547,01:50:59
296,models/model296/,mlp,3x,494,2,LeakyReLU,0.27,32,0.000977237220955811,200,0.03980599395930769,0.035781629562377945,0.00402436439692974,00:43:03
297,models/model297/,mlp,3x,20,6,ReLU,0.05,442,1.62181009735893e-05,200,0.07552682691253722,0.06042319339513779,0.01510363351739943,00:27:31
298,models/model298/,mlp,3x,274,3,ReLU,0.22,515,3.981071705534969e-06,200,0.052352102431468664,0.04085660606622696,0.011495496365241706,00:31:55
299,models/model299/,lstm,3x,36,5,Tanh,0.1,719,6.606934480075964e-06,200,0.2920839250385761,0.22433840945363043,0.06774551558494568,00:45:18
300,models/model300/,mlp,3x,181,5,ReLU,0.13,1089,0.00016218100973589298,200,0.03694723323895596,0.03233244901895523,0.004614784220000729,00:30:30
301,models/model301/,lstm,3x,32,4,ReLU,0.33,477,3.801893963205613e-06,200,0.4396345900855958,0.32990277305245397,0.10973181703314185,00:35:18
302,models/model302/,lstm,3x,30,5,Tanh,0.21,190,8.709635899560814e-05,200,0.039806551150977615,0.03484673768281937,0.004959813468158244,00:53:45
303,models/model303/,lstm,3x,17,5,ReLU,0.15,51,2.884031503126606e-06,200,0.24023394121974703,0.20228051140904424,0.0379534298107028,02:04:37
304,models/model304/,lstm,3x,71,2,ReLU,0.02,97,1.6218100973589298e-06,200,0.10041511757578701,0.07596151906251908,0.02445359851326794,00:47:42
305,models/model305/,mlp,3x,46,3,Tanh,0.45,1136,3.3113112148259076e-05,200,0.17745394023507832,0.16754931640624998,0.009904623828828334,00:28:31
306,models/model306/,lstm,3x,137,2,Tanh,0.22,148,8.51138038202376e-06,200,0.0442031497824937,0.03928887999057769,0.0049142697919160126,00:50:45
307,models/model307/,mlp,3x,23,6,ReLU,0.26,837,0.0002951209226666387,200,0.07940439086733386,0.0743532288968563,0.005051161970477551,00:27:52
308,models/model308/,mlp,3x,31,3,Tanh,0.32,26,2.0417379446695273e-06,200,0.16381473870249466,0.15739858460426331,0.006416154098231343,00:43:51
309,models/model309/,mlp,3x,75,4,Tanh,0.42,154,0.0003467368504525317,200,0.0398242538748309,0.03490116119384765,0.004923092680983245,00:30:22
310,models/model310/,lstm,3x,352,2,ReLU,0.26,155,0.0002570395782768865,200,0.0346323359804228,0.03202486738562584,0.0026074685947969556,01:10:19
311,models/model311/,lstm,3x,388,5,LeakyReLU,0.18,274,0.00013803842646028852,200,0.03610908102942632,0.032806869387626655,0.0033022116417996588,01:58:35
312,models/model312/,lstm,3x,26,3,ReLU,0.07,48,0.0005888436553555889,200,0.044088012237101806,0.039301573753356946,0.004786438483744859,01:30:52
313,models/model313/,mlp,3x,215,4,Tanh,0.41,107,3.1622776601683795e-05,200,0.03677258746046573,0.031797766387462616,0.004974821073003113,00:35:59
314,models/model314/,lstm,3x,116,4,LeakyReLU,0.28,203,8.912509381337459e-05,200,0.037030792821431534,0.03235642769932747,0.0046743651221040645,00:54:03
315,models/model315/,mlp,3x,340,4,Tanh,0.29,18,2.951209226666384e-05,200,0.03379555603885091,0.02944045031070709,0.004355105728143825,00:53:46
316,models/model316/,mlp,3x,29,3,ReLU,0.49,897,0.00038018939632056124,200,0.1257105492767878,0.12069798251986504,0.0050125667569227515,00:26:57
317,models/model317/,mlp,3x,82,5,Tanh,0.46,41,1.3182567385564074e-06,200,0.16197262524091643,0.15658338660001758,0.0053892386408988385,00:37:45
318,models/model318/,mlp,3x,22,3,ReLU,0.35,274,0.00019498445997580456,200,0.07182034908374771,0.06688704353570937,0.004933305548038334,00:27:54
319,models/model319/,mlp,3x,471,6,ReLU,0.24,22,0.0006456542290346556,200,0.053806971801444885,0.04894309312105179,0.004863878680393098,00:56:37
320,models/model320/,lstm,3x,82,6,Tanh,0.44,32,0.0005495408738576248,200,0.06980932262539864,0.0648981990814209,0.004911123543977735,02:57:36
